nom,SIREN,type,code_region,code_departement
Bordeaux Métropole,243300316,MET,75,33
Boucle Nord de Seine,200057990,EPT,11,92
Brest Métropole,242900314,MET,53,29
CA Alès Agglomération,200066918,CA,76,30
CA Amiens Métropole,248000531,CA,32,80
CA Annemasse-les Voirons-Agglomération,200011773,CA,84,74
CA Annonay Rhône Agglo,200072015,CA,84,7
CA Arche Agglo,200073096,CA,84,
CA Ardenne Métropole,200041630,CA,44,8
CA Arlysère,200068997,CA,84,73
CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS),243300563,CA,75,33
"CA Beaune,Côte et Sud - Communauté Beaune-Chagny-Nolay",200006682,CA,27,
CA Bergeracoise,200070647,CA,75,24
CA Bourges Plus,241800507,CA,24,18
CA Cannes Pays de Lérins,200039915,CA,93,6
CA Carcassonne Agglo,200035715,CA,76,11
CA Caux Seine Agglo,200010700,CA,28,76
CA Chartres Métropole,200033181,CA,24,28
CA Châteauroux Métropole,243600327,CA,24,36
CA Chauny-Tergnier-La Fère,200071785,CA,32,2
CA CIVIS (Communauté Intercommunale des VIlles Solidaires),249740077,CA,4,974
CA Clisson Sèvre et Maine Agglo,200067635,CA,52,44
CA Cœur d'Essonne Agglomération,200057859,CA,11,91
CA Colmar Agglomération,246800726,CA,44,68
CA Communauté Paris-Saclay,200056232,CA,11,91
CA Concarneau Cornouaille Agglomération,242900769,CA,53,29
CA Coulommiers Pays de Brie,200090504,CA,11,77
CA Creil Sud Oise,200068047,CA,32,60
CA d'Agen,200035459,CA,75,47
CA d'Arles-Crau-Camargue-Montagnette,241300417,CA,93,13
CA d'Épinal,200068757,CA,44,88
CA d'Hénin-Carvin,246200299,CA,32,62
CA de Bar-le-Duc - Sud Meuse,200033025,CA,44,55
CA de Bastia,242000354,CA,94,
"CA de Béthune-Bruay,Artois-Lys Romane",200072460,CA,32,62
CA de Béziers-Méditerranée,243400769,CA,76,34
CA de Blois Agglopolys,200030385,CA,24,41
CA de Cambrai,200068500,CA,32,59
CA de Castres Mazamet,248100430,CA,76,81
CA de Cergy-Pontoise,249500109,CA,11,
CA de Châlons-en-Champagne,200066876,CA,44,51
CA de Chaumont,200068658,CA,44,52
CA de Forbach Porte de France,245700372,CA,44,57
CA de Haguenau,200067874,CA,44,67
CA de l'Albigeois (C2A),248100737,CA,76,81
CA de l'Auxerrois,200067114,CA,27,89
CA de l'Espace Sud de la Martinique,249720053,CA,2,972
CA de l'Ouest Rhodanien,200040566,CA,84,69
CA de la Baie de Somme,200070993,CA,32,80
CA de la Porte du Hainaut,200042190,CA,32,59
CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),244400610,CA,,
CA de la Provence Verte,200068104,CA,93,83
CA de la Région de Château-Thierry,200072031,CA,32,2
CA de la Région de Compiègne et de la Basse Automne,200067965,CA,32,60
CA de la Région Dieppoise,247600786,CA,28,76
CA de la Région Nazairienne et de l'Estuaire (CARENE),244400644,CA,52,44
CA de la Riviera Française,240600551,CA,93,6
CA de la Rochelle,241700434,CA,75,17
CA de Lamballe Terre et Mer,200069391,CA,53,22
CA de Laval Agglomération,200083392,CA,52,53
CA de Lens - Liévin,246200364,CA,32,62
CA de Longwy,245400262,CA,44,54
CA de Nevers,245804406,CA,27,58
CA de Nîmes Métropole,243000643,CA,76,30
CA de Saint-Dié-des-Vosges,200071066,CA,44,
CA de Saint-Dizier Der et Blaise,200068666,CA,44,
CA de Saint-Quentin-en-Yvelines,200058782,CA,11,78
CA de Saintes,200036473,CA,75,17
CA de Sophia Antipolis,240600585,CA,93,6
CA de Vesoul,247000011,CA,27,70
CA Dembeni-Mamoudzou,200060457,CA,6,976
CA des Deux Baies en Montreuillois,200069029,CA,32,62
CA Dinan Agglomération,200068989,CA,53,22
CA Dracénie Provence Verdon Agglomération,248300493,CA,93,83
CA du Bassin d'Arcachon Nord,243301504,CA,75,33
CA du Bassin d'Aurillac,241500230,CA,84,15
CA du Bassin de Bourg-en-Bresse,200071751,CA,84,1
CA du Bassin de Brive,200043172,CA,75,19
CA du Beauvaisis,200067999,CA,32,60
CA du Bocage Bressuirais,200040244,CA,75,79
CA du Boulonnais,246200729,CA,32,62
CA du Caudrésis et du Catésis,200030633,CA,32,59
CA du Centre de la Martinique,249720061,CA,2,972
CA du Centre Littoral,249730045,CA,3,973
CA du Choletais,200071678,CA,52,49
CA du Cotentin,200067205,CA,28,50
CA du Douaisis Agglo,200044618,CA,32,59
CA du Gard Rhodanien,200034692,CA,76,30
CA du Grand Angoulême,200071827,CA,75,16
CA du Grand Annecy,200066793,CA,84,74
CA du Grand Avignon (COGA),248400251,CA,,
CA du Grand Cahors,200023737,CA,76,46
CA du Grand Chambéry,200069110,CA,84,73
CA du Grand Cognac,200070514,CA,75,16
CA du Grand Dax,244000675,CA,75,40
CA du Grand Dole,200010650,CA,27,39
CA du Grand Guéret,200034825,CA,75,23
CA du Grand Sénonais,248900334,CA,27,89
CA du Grand Verdun,200049187,CA,44,55
CA du Grand Villeneuvois,200023307,CA,75,47
CA du Libournais,200070092,CA,75,33
CA du Niortais,200041317,CA,75,79
CA du Nord Basse-Terre,249710062,CA,1,971
CA du Nord Grande Terre,200044691,CA,1,971
CA du Pays Ajaccien,242010056,CA,94,
CA du Pays Basque,200067106,CA,75,64
CA du Pays de Dreux,200040277,CA,,
CA du Pays de Fontainebleau,200072346,CA,11,77
CA du Pays de Gex,240100750,CA,84,1
CA du Pays de Grasse,200039857,CA,93,6
CA du Pays de l'Or,243400470,CA,76,34
CA du Pays de Laon,200043495,CA,32,2
CA du Pays de Meaux,200072130,CA,11,77
CA du Pays de Saint-Omer,200069037,CA,32,62
CA du Pays de Saint Malo Agglomération,243500782,CA,53,35
CA du Pays Nord Martinique,200041788,CA,2,972
CA du Pays Voironnais,243800984,CA,84,38
CA du Puy-en-Velay,200073419,CA,84,43
CA du Saint-Quentinois,200071892,CA,32,2
CA du Sicoval,243100633,CA,76,31
CA du Sud,249740085,CA,4,974
CA du Val de Fensch,245701222,CA,44,57
CA Durance-Lubéron-Verdon Agglomération,200034700,CA,93,
CA ECLA  (Espace Communautaire Lons Agglomération),200071116,CA,27,39
"CA Épernay,Coteaux et Plaine de Champagne",200067684,CA,44,51
CA Étampois Sud-Essonne (CCESE),200017846,CA,11,91
CA Evreux Portes de Normandie,200071454,CA,28,27
CA Fécamp Caux Littoral Agglomération,200069821,CA,28,76
CA Flers Agglo,200035814,CA,28,61
CA Fougères Agglomération,200072452,CA,53,35
CA Gaillac-Graulhet,200066124,CA,76,81
CA Golfe du Morbihan - Vannes Agglomération,200067932,CA,53,56
CA Grand Auch Cœur de Gascogne,200066926,CA,76,32
CA Grand Belfort,200069052,CA,27,90
CA Grand Calais Terres et Mers,200090751,CA,32,62
CA Grand Châtellerault,248600413,CA,75,86
CA Grand Lac,200068674,CA,84,73
CA Grand Montauban,248200099,CA,76,82
CA Grand Paris Sud Seine Essonne Sénart,200059228,CA,11,
CA Grand Sud Caraïbe,249710070,CA,1,971
CA GrandSoissons Agglomération,240200477,CA,32,2
CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,200067981,CA,53,22
CA Haut - Bugey Agglomération,200042935,CA,84,1
CA Hérault-Méditerranée,243400819,CA,76,34
CA Intercommunale de la Réunion Est (CIREST),249740093,CA,4,974
CA Intercommunale du Nord de la Réunion (CINOR),249740119,CA,4,974
CA La Riviera du Levant,200041507,CA,1,971
CA La Roche-sur-Yon Agglomération,248500589,CA,52,85
CA Le Grand Chalon,247100589,CA,27,71
CA Le Grand Narbonne,241100593,CA,76,11
CA Le Grand Périgueux,200040392,CA,75,24
CA Le Muretain Agglo,200068641,CA,76,31
CA Les Sables d'Olonne Agglomération,200071165,CA,52,85
CA Lisieux Normandie,200069532,CA,28,14
CA Loire Forez Agglomération,200065886,CA,84,42
CA Lorient Agglomération,200042174,CA,53,56
CA Luberon Monts de Vaucluse,200040442,CA,93,84
CA Mâconnais Beaujolais Agglomération,200070308,CA,,
CA Marne et Gondoire,247700594,CA,11,77
CA Maubeuge Val de Sambre,200043396,CA,32,59
CA Mauges Communauté,200060010,CA,52,49
CA Melun Val de Seine,247700057,CA,11,77
CA Mont-de-Marsan Agglomération,244000808,CA,75,40
CA Mont-Saint-Michel-Normandie,200069425,CA,28,50
CA Montargoise et Rives du Loing (A.M.E.),244500203,CA,24,45
CA Montélimar Agglomération,200040459,CA,84,26
CA Montluçon Communauté,200071082,CA,84,3
CA Morlaix Communauté,242900835,CA,53,29
CA Mulhouse Alsace Agglomération,200066009,CA,44,68
CA Paris - Vallée de la Marne,200057958,CA,11,77
